IdentifierType,IdentifierValue,AmortizedCost_USDEquivalent,MarketValue_USDEquivalent,AccountingIntent,TypeOfHedge,HedgedRisk,HedgeInterestRate,HedgePercentage,HedgeHorizon,HedgedCashFlow,Sidedness,HedgingInstrumentAtFairValue,EffectivePortionOfCumulativeGainsAndLosses,ASU2017-12HedgeDesignations
INTERNAL,ID-000052,593914.3389,677844.1354,HTM,2,10,4,0.0162,3/13/2035,1,1,1514082.084,253792.3905,1
INTERNAL,ID-000053,755399.5188,477895.4984,EQ,1,2,3,0.3964,8/10/2025,3,2,1108694.046,286849.2206,3
CUSIP,ID-000054,552242.3379,291255.8949,HTM,2,5,3,0.5375,2/2/2024,6,2,1169392.345,237044.2453,1
SEDOL,ID-000055,759991.1584,619971.7665,EQ,1,4,4,0.2605,10/10/2025,5,1,1275312.196,240295.2595,3
SEDOL,ID-000056,1230990.663,442897.5027,EQ,2,9,1,0.9808,6/30/2026,1,2,1076211.82,301856.2462,1
ISIN,ID-000057,639245.1164,721032.9931,AFS,2,10,1,0.5349,6/1/2019,1,2,1229710.509,264800.2595,1
SEDOL,ID-000058,599721.1781,478442.0323,AFS,1,9,3,0.6829,12/22/2025,4,1,1506346.319,284444.1929,2
SEDOL,ID-000059,563253.1072,579352.6113,AFS,1,4,2,0.2674,3/3/2010,2,1,1486751.98,241826.4167,1
CUSIP,ID-000060,636647.9417,,AFS,1,1,4,0.9422,1/18/2000,3,1,1129198.027,,1
CUSIP,ID-000061,761593.0323,331014.3072,EQ,2,4,3,0.0279,2/11/2017,4,1,1539178.307,300845.924,2
INTERNAL,ID-000062,657229.0179,,AFS,1,7,4,0.4387,4/21/2002,6,1,1686825.307,236440.7526,1
INTERNAL,ID-000063,821738.3463,442290.274,EQ,2,9,2,,3/16/2024,3,1,1248320.541,277620.5812,2
INTERNAL,ID-000064,763833.7812,568577.4463,HTM,1,1,1,0.4241,2/19/2009,6,1,1081997.488,222237.3327,3
CUSIP,ID-000065,695984.1878,349991.6887,HTM,2,5,1,0.0871,4/26/2025,1,1,1136497.11,260209.4746,3
ISIN,ID-000066,552953.0886,513298.5284,AFS,1,5,3,0.7938,8/29/2034,2,1,1096796.118,236053.5445,2
SEDOL,ID-000067,626418.4764,868500.5284,AFS,2,5,5,0.6992,6/4/2025,6,1,1220332.933,226955.9879,2
CUSIP,ID-000068,645081.301,385680.5478,EQ,2,10,1,0.8646,8/25/2021,4,1,1287057.17,438422.6725,1
CUSIP,ID-000069,,386592.4558,HTM,1,9,2,0.4366,7/14/2000,6,1,1681089.4,358439.6199,3
INTERNAL,ID-000070,711020.1222,435894.3174,EQ,2,8,4,0.9491,7/24/2030,4,1,1087843.514,230821.7731,2
CUSIP,ID-000071,546984.9038,662123.8004,HTM,2,4,3,0.0813,10/21/2023,5,2,1462124.485,238066.2874,2
SEDOL,ID-000072,569309.3654,530626.9298,HTM,2,11,1,0.451,9/16/2006,3,1,1571837.6,285335.2225,1
INTERNAL,ID-000073,731404.6467,502243.6101,AFS,2,11,5,0.2795,4/3/2006,2,1,1268750.981,258785.6981,3
SEDOL,ID-000074,646346.0285,485251.233,HTM,2,4,1,0.2557,8/24/2015,2,1,1603590.681,204228.1048,2
CUSIP,ID-000075,756919.2236,663621.2718,EQ,1,6,3,0.0103,4/20/2027,3,2,1091927.408,212593.0736,2
CUSIP,ID-000076,872959.6815,540555.3319,HTM,1,1,1,0.0415,2/8/2000,1,2,1196678.434,273477.788,2
ISIN,ID-000077,1101027.981,704203.5261,HTM,2,10,3,0.1338,8/5/2032,6,1,1039603.134,250522.9439,2
CUSIP,ID-000078,615323.2277,,AFS,2,5,5,0.0796,5/12/2021,5,2,1045727.499,272937.46,3
SEDOL,ID-000079,713734.1288,510504.1233,EQ,1,3,3,0.2404,6/24/2035,5,2,1126661.97,270606.3611,2
SEDOL,ID-000080,623738.9571,483114.3401,AFS,1,1,5,0.0337,10/28/2024,4,1,1046896.291,214365.2843,3
SEDOL,ID-000081,615630.5961,308400.8516,EQ,1,7,4,0.9485,9/28/2006,1,2,1201510.929,284148.5277,2
ISIN,ID-000082,545766.2896,,AFS,2,10,5,0.2624,3/21/2004,4,2,1761573.553,268256.3712,3
INTERNAL,ID-000083,1013748.165,589534.3742,AFS,1,4,2,0.307,1/16/2010,4,2,1143217.625,337019.3122,2
ISIN,ID-000084,892454.0331,637145.7357,AFS,2,2,3,0.1584,6/25/2011,1,1,1717441.604,214946.0089,3
ISIN,ID-000085,566783.0434,,HTM,1,4,1,0.1635,5/27/2002,6,1,,336360.0217,2
CUSIP,ID-000086,557643.7912,364612.9216,AFS,2,11,2,0.635,1/3/2023,3,1,1482854.065,269646.0422,2
CUSIP,ID-000087,645035.2987,417972.2718,EQ,2,3,4,0.1776,5/29/2005,1,1,1284365.924,249584.1579,2
INTERNAL,ID-000088,871776.1994,401063.6018,AFS,1,8,3,0.3318,4/4/2021,4,1,1075380.101,220296.5046,3
SEDOL,ID-000089,771847.9167,481064.317,AFS,1,1,1,0.255,9/4/2008,5,2,1409141.305,249793.8069,2
ISIN,ID-000090,760579.5208,530751.5609,EQ,2,5,3,0.6161,12/21/2002,5,2,1353777.418,285453.4917,3
CUSIP,ID-000091,654342.1671,788763.44,HTM,2,2,4,0.2657,10/2/2024,4,2,1132949.081,255252.173,3
CUSIP,ID-000092,608121.6532,601597.9593,HTM,2,9,3,0.2224,2/9/2019,3,1,1417814.604,273319.3473,2
CUSIP,ID-000093,1058933.801,447512.5326,AFS,1,6,4,0.4201,11/25/2012,5,2,1524315.517,288923.0973,2
CUSIP,ID-000094,516162.3307,575027.9356,AFS,2,1,4,0.701,5/14/2006,2,1,1592456.342,259458.2802,2
CUSIP,ID-000095,739516.2041,738214.6094,AFS,2,2,5,0.6183,2/22/2019,2,2,1237805.095,374459.6057,3
CUSIP,ID-000096,949357.5562,438764.4042,AFS,1,6,1,0.3135,9/7/2020,2,2,1344418.058,214005.8487,2
CUSIP,ID-000097,799972.2937,421076.0334,EQ,1,4,4,0.0334,8/19/2010,2,1,1335245.18,248737.6633,1
CUSIP,ID-000098,891265.5208,598563.0031,EQ,2,11,3,0.7107,4/20/2003,4,2,2491170.251,284112.6245,3
INTERNAL,ID-000099,668874.6328,797171.0676,EQ,1,7,2,0.7534,5/11/2019,6,1,1059215.28,233895.77,1
ISIN,ID-000100,532865.2816,597061.6867,AFS,2,1,3,0.5748,9/3/2033,4,1,1428652.048,237581.579,3
CUSIP,ID-000101,764394.9386,497293.2879,EQ,2,1,2,0.4319,4/13/2007,4,2,1549843.318,287380.9843,2
INTERNAL,ID-000102,550869.0328,594443.7751,EQ,1,11,2,0.6138,10/6/2028,5,2,1223679.16,218813.9446,2
INTERNAL,ID-000103,710922.2852,441718.455,EQ,1,4,3,0.8819,8/12/2013,1,2,1571906.194,270185.8488,3
CUSIP,ID-000104,743770.1056,467986.1282,HTM,2,4,4,0.9768,12/24/2001,3,2,1067422.826,268455.6118,3
SEDOL,ID-000105,659737.5482,599421.4966,AFS,2,9,3,0.7137,6/26/2016,5,2,1017510.38,363787.3233,2
INTERNAL,ID-000106,860645.6173,,EQ,2,3,5,0.5947,2/3/2004,6,1,1750048.751,276575.2865,2
CUSIP,ID-000107,756428.0872,475694.701,AFS,2,1,1,0.2952,3/22/2002,4,2,1287764.533,269561.506,1
INTERNAL,ID-000108,804959.0644,777347.5096,HTM,2,2,4,0.002,12/20/2035,3,2,1372607.054,310840.8829,2
CUSIP,ID-000109,653329.3994,358253.5558,HTM,2,11,5,0.8121,7/16/2001,5,2,1745508.454,360469.0581,3
SEDOL,ID-000110,,652892.2279,HTM,1,7,2,0.1587,5/20/2010,3,1,1084153.403,212818.5378,3
ISIN,ID-000111,675372.9056,531457.1524,AFS,2,10,2,0.3254,1/26/2019,5,2,1038463.243,218583.5491,2
SEDOL,ID-000112,712224.0995,532112.7267,EQ,1,9,5,0.1063,12/7/2010,5,1,1560399.214,225486.7708,3
CUSIP,ID-000113,716820.7278,408833.9313,EQ,1,6,4,0.2611,2/4/2034,4,2,1595500.248,428184.7291,2
INTERNAL,ID-000114,624958.0666,504416.9297,HTM,2,6,4,0.5339,10/11/2019,3,1,1250983.862,238902.8553,2
CUSIP,ID-000115,846759.2065,,EQ,2,4,5,0.4619,12/17/2019,2,2,1298128.371,225008.1969,2
ISIN,ID-000116,710421.8335,371201.5592,EQ,1,5,2,0.7443,12/18/2006,6,1,1178336.482,254230.7034,2
SEDOL,ID-000117,657764.7465,389408.2089,AFS,2,11,2,0.4294,8/31/2023,3,2,1813117.969,362069.778,2
INTERNAL,ID-000118,688606.1267,313183.505,EQ,1,8,1,0.5844,12/27/2006,5,2,1017819.356,293609.8081,1
SEDOL,ID-000119,763395.8134,642348.8674,HTM,1,7,1,0.9798,10/31/2006,5,1,1556843.892,225076.5813,1
CUSIP,ID-000120,906633.9035,365653.089,EQ,1,7,1,0.1911,4/22/2013,5,1,1146615.888,230850.8229,3
ISIN,ID-000121,539845.5058,508258.1077,AFS,1,3,4,0.0153,8/31/2023,2,2,1196789.337,299416.1953,3
CUSIP,ID-000122,604412.4319,713824.9316,HTM,2,6,2,0.9541,6/22/2033,5,2,1291247.917,255191.8762,2
ISIN,ID-000123,527949.8794,590994.7909,HTM,1,11,5,0.7435,1/13/2033,2,1,1502093.08,360960.0389,1
ISIN,ID-000124,668942.4164,569091.3323,EQ,1,2,2,0.5068,11/30/2011,5,2,1053672.772,262503.1132,3
SEDOL,ID-000125,642413.738,343628.7261,AFS,2,4,3,0.5207,4/22/2035,6,2,1291378.826,289610.0207,2
ISIN,ID-000126,686261.862,801889.5163,AFS,1,4,4,0.0694,12/20/2031,5,2,1461667.103,257169.677,1
SEDOL,ID-000127,858807.1191,157211.5507,AFS,2,9,1,0.6353,6/12/2004,5,1,1041321.498,316136.9002,3
CUSIP,ID-000128,,537717.6367,EQ,1,3,4,0.7968,12/9/2000,2,2,1243560.168,231933.4435,3
INTERNAL,ID-000129,781810.2657,604018.5,AFS,1,7,1,0.6992,6/3/2000,1,2,1083956.453,229116.0574,3
ISIN,ID-000130,556058.2675,435794.8659,HTM,1,9,5,0.5855,9/17/2020,4,2,1124262.51,265857.4161,2
INTERNAL,ID-000131,851945.0508,451405.4693,HTM,1,4,5,0.1493,11/5/2027,5,1,1780082.615,451159.5502,2
SEDOL,ID-000132,575825.0135,382007.8002,HTM,1,11,2,0.5861,5/22/2010,2,2,1098109.575,278519.4994,1
CUSIP,ID-000133,702673.4116,469417.1891,AFS,1,5,3,0.3894,3/22/2035,2,2,1249561.309,284782.0905,3
CUSIP,ID-000134,623868.9767,529698.7186,HTM,2,7,2,0.6227,11/19/2029,1,2,1319277.337,235302.7381,3
SEDOL,ID-000135,694213.2736,480535.238,HTM,2,4,2,0.3801,2/23/2033,1,2,1209036.308,273817.3252,3
INTERNAL,ID-000136,774850.8822,641582.3082,HTM,1,8,2,0.2678,1/29/2006,6,1,1079496.608,222606.1917,2
SEDOL,ID-000137,824299.1236,594652.1568,AFS,1,9,1,0.7648,10/24/2020,3,1,1085760.443,303766.6022,1
CUSIP,ID-000138,713258.6508,408676.3348,EQ,2,4,4,0.5094,11/17/2020,1,1,1278582.462,290800.6316,3
SEDOL,ID-000139,799270.8117,706153.8782,AFS,2,3,3,0.377,2/10/2005,6,2,1211575.606,335835.6873,3
INTERNAL,ID-000140,599165.1152,641838.7726,HTM,1,2,2,0.3434,9/30/2010,5,1,1172228.556,291063.556,3
SEDOL,ID-000141,752129.9426,326855.71,HTM,2,4,2,0.5669,2/22/2001,6,2,1108866.733,257887.3187,1
INTERNAL,ID-000142,652181.9938,568603.3854,HTM,1,9,4,0.3863,6/3/2019,6,2,1160918.081,454182.1898,1
ISIN,ID-000143,547696.7203,493004.7297,EQ,2,5,4,0.5136,5/20/2010,6,1,1089898.146,215966.6337,1
CUSIP,ID-000144,953985.2545,520655.3602,HTM,1,10,1,0.8262,11/15/2018,2,2,1464296.107,287477.5531,3
SEDOL,ID-000145,995871.3408,420963.436,HTM,1,3,5,0.5075,11/24/2006,2,1,1467067.046,209470.0709,1
ISIN,ID-000146,527701.2658,409594.7361,HTM,2,2,1,0.1282,12/10/2009,3,1,1631753.149,378085.2665,1
SEDOL,ID-000147,585742.8068,368548.4764,AFS,1,11,3,0.9477,11/26/2018,5,2,1113079.931,308919.5442,3
ISIN,ID-000148,511431.9665,573816.0933,AFS,2,1,5,0.6099,1/20/2003,6,2,1116000.42,,2
SEDOL,ID-000149,795158.4814,541721.4811,HTM,2,8,3,0.8306,11/7/2010,6,1,1203561.814,266488.5157,2
ISIN,ID-000150,886480.0625,587036.1809,HTM,1,3,3,0.3367,2/8/2018,1,2,1270980.211,295865.315,2
INTERNAL,ID-000151,871513.8121,645435.0828,EQ,1,9,4,0.9548,12/5/2008,1,1,1146176.472,254072.1825,2
SEDOL,ID-000152,525191.0984,381368.3833,EQ,1,11,5,0.8689,10/6/2030,6,2,1320539.435,306705.7876,3
SEDOL,ID-000153,722646.446,447397.2553,HTM,1,10,3,,9/28/2022,4,1,1421856.317,284569.5562,3
SEDOL,ID-000154,620536.1824,395050.3813,AFS,2,6,2,0.8387,8/25/2012,3,1,1314839.461,201669.7609,3
CUSIP,ID-000155,778059.5568,323427.1099,EQ,1,9,2,0.2359,1/3/2018,4,1,1384947.501,359228.2488,2
INTERNAL,ID-000156,833660.4376,588541.602,EQ,2,9,1,0.2857,5/10/2020,1,1,1239988.932,251615.693,1
CUSIP,ID-000157,527466.1435,466624.2418,HTM,1,6,4,0.2602,8/15/2028,6,1,1120406.721,360016.0409,2
ISIN,ID-000158,616318.5972,622584.7317,AFS,1,4,3,0.23,11/14/2016,6,1,1079075.899,295513.1073,3
SEDOL,ID-000159,670692.3793,380040.366,EQ,1,1,1,0.4493,11/27/2025,6,2,2109589.537,211847.8769,2
INTERNAL,ID-000160,707876.0466,600673.963,HTM,1,6,4,0.2793,5/15/2003,5,2,1135520.912,311870.7974,2
ISIN,ID-000161,,362085.7607,AFS,2,4,5,0.49,10/9/2033,4,2,1236119.267,212521.114,2
CUSIP,ID-000162,645693.3357,463876.6196,AFS,1,5,2,0.0735,6/29/2010,5,1,1781911.263,239134.0969,3
CUSIP,ID-000163,884068.7805,548252.127,EQ,2,6,4,0.5817,10/26/2033,6,1,1371387.979,244337.0909,2
INTERNAL,ID-000164,610025.2881,553116.3468,AFS,2,11,5,0.6295,2/22/2009,5,2,1125392.067,240724.2826,2
ISIN,ID-000165,585378.4294,656523.3411,EQ,1,5,3,0.0033,7/7/2032,6,2,1306441.596,281324.7499,3
ISIN,ID-000166,646040.531,,HTM,1,2,2,0.9773,1/29/2014,6,1,1100622.718,276517.3711,1
ISIN,ID-000167,1022588.981,433024.6717,EQ,1,2,2,0.6278,8/5/2016,6,2,1123661.018,253764.5707,1
SEDOL,ID-000168,679238.0308,559308.5059,HTM,1,2,2,0.6166,6/3/2015,3,2,1123368.401,265784.5755,1
INTERNAL,ID-000169,1012402.564,514072.6474,AFS,1,7,2,0.5561,12/7/2031,4,1,1595891.194,204433.2708,1
CUSIP,ID-000170,662563.8623,456329.4116,AFS,1,4,2,0.0772,3/17/2005,4,2,16470.44606,265745.871,3
INTERNAL,ID-000171,576561.3748,419836.6347,HTM,2,2,3,0.3008,12/18/2009,3,2,1109211.1,381746.5058,1
ISIN,ID-000172,818323.5031,672500.9417,HTM,1,8,5,0.9703,8/1/2020,4,2,1099811.907,,3
CUSIP,ID-000173,668884.3113,543863.0284,EQ,2,11,2,0.9196,7/7/2020,2,2,1232899.538,225185.2995,2
INTERNAL,ID-000174,596183.2276,693931.2893,HTM,2,6,4,0.9602,4/25/2009,5,1,1844595.472,235428.2158,1
CUSIP,ID-000175,561577.2605,461999.1055,AFS,2,7,1,0.6272,10/12/2010,4,1,1080818.128,279586.8976,2
INTERNAL,ID-000176,536598.3306,604047.9813,HTM,2,5,1,0.3649,4/22/2005,4,2,1310688.783,211485.9389,2
INTERNAL,ID-000177,685439.1257,521659.2973,EQ,2,2,2,0.8176,1/8/2035,3,1,1630838.33,241743.8886,2
CUSIP,ID-000178,660250.9507,568093.5389,EQ,1,9,5,0.5661,8/24/2012,1,2,1151164.564,265235.9569,3
SEDOL,ID-000179,,447503.7559,EQ,2,1,4,0.6144,3/25/2003,2,1,1022437.405,296376.5852,3
INTERNAL,ID-000180,577391.2738,458557.0299,AFS,2,2,5,0.2218,3/7/2022,1,1,1126765.702,264758.9994,1
CUSIP,ID-000181,538564.6695,711735.0221,HTM,2,5,5,0.265,2/24/2010,3,1,1141243.431,222339.4966,2
INTERNAL,ID-000182,598362.3727,295105.2851,EQ,2,9,2,0.0614,11/19/2019,4,1,1600321.844,309997.8374,2
INTERNAL,ID-000183,828383.5769,507349.9281,HTM,2,3,1,0.1483,12/12/2011,6,1,1044547.774,218317.1165,1
SEDOL,ID-000184,764854.4069,584456.4038,HTM,1,11,1,0.4453,7/31/2015,1,1,1038427.716,242822.2891,1
INTERNAL,ID-000185,997830.7804,588778.8865,EQ,1,8,5,0.1894,4/2/2035,2,1,1181418.887,263145.9152,1
ISIN,ID-000186,656696.2513,555052.9514,AFS,2,11,1,0.4322,11/10/2026,5,1,1023201.004,315293.2036,1
CUSIP,ID-000187,585038.8504,338753.0385,AFS,2,2,4,0.9012,11/6/2015,2,2,1053803.298,1502951.119,3
INTERNAL,ID-000188,1094962.006,627754.4909,EQ,2,4,5,0.3132,9/24/2005,2,2,1393329.839,217840.0674,1
ISIN,ID-000189,636098.6446,473305.2973,EQ,1,10,1,0.1061,6/6/2017,6,1,1596185.05,397069.8332,3
CUSIP,ID-000190,618118.9698,473735.755,AFS,2,7,4,0.1389,3/28/2005,1,2,1254061.437,262674.9096,3
CUSIP,ID-000191,746100.1702,494997.6384,HTM,2,2,1,0.8128,8/25/2003,1,1,1099137.855,270407.595,2
ISIN,ID-000192,581463.3576,335803.5631,HTM,2,10,5,0.6254,4/1/2024,1,2,1185809.891,214547.9288,3
CUSIP,ID-000193,640362.2245,650452.8719,AFS,2,2,1,0.7353,3/18/2023,3,1,1358830.043,253952.006,1
ISIN,ID-000194,577583.8442,437203.9914,AFS,1,10,1,0.0665,7/18/2014,4,2,1229892.31,329388.3907,3
INTERNAL,ID-000195,725102.0314,455955.5211,AFS,2,2,5,0.9037,10/22/2007,3,1,1180683.42,227655.3299,3
INTERNAL,ID-000196,691267.4448,526017.5029,HTM,2,1,2,0.5458,10/28/2017,4,1,1216821.091,316224.6966,1
SEDOL,ID-000197,705498.1426,575147.0602,HTM,1,1,5,0.7994,1/19/2021,2,1,1074589.06,298255.8821,3
CUSIP,ID-000198,766489.0789,433998.8133,AFS,2,7,5,0.3652,11/8/2030,1,1,1044719.353,287081.5287,1
CUSIP,ID-000199,685424.4422,429515.6437,AFS,1,8,4,0.7941,8/6/2012,5,2,1062948.167,223325.9019,2
SEDOL,ID-000200,532270.7772,464376.9718,EQ,1,10,3,0.553,8/1/2030,5,1,1180009.635,219788.8541,2
SEDOL,ID-000201,664394.1902,706863.1984,EQ,1,3,3,0.3663,9/13/2017,4,2,1594778.146,206256.3921,2
INTERNAL,ID-000202,805970.7652,408491.0975,HTM,2,2,3,0.503,6/11/2003,1,2,1529437.776,275645.7188,3
SEDOL,ID-000203,651963.7462,425858.2169,AFS,2,6,2,0.3427,9/29/2023,2,2,1283676.595,289136.3836,3
CUSIP,ID-000204,820013.02,419052.7791,AFS,2,11,2,0.3463,7/16/2006,2,1,1575007.978,239928.0025,1
SEDOL,ID-000205,564022.2159,697472.6734,HTM,1,11,2,0.6847,2/12/2034,4,1,1349760.893,,2
CUSIP,ID-000206,533348.6345,499070.7858,EQ,1,5,5,0.7988,9/9/2015,1,1,1004730.753,395412.7028,3
SEDOL,ID-000207,663028.0302,575090.4775,HTM,2,10,4,0.6793,2/27/2011,5,2,1265879.528,221898.6429,2
INTERNAL,ID-000208,631480.083,562567.2751,AFS,2,3,4,0.6368,2/3/2013,4,1,1759867.053,213916.1888,2
ISIN,ID-000209,584451.2321,270348.7747,AFS,1,5,5,0.8423,6/21/2034,3,1,1075938.493,431590.4433,1
SEDOL,ID-000210,988708.7476,470601.4796,EQ,2,2,5,0.9385,6/9/2015,3,2,1329066.893,206110.2336,3
CUSIP,ID-000211,1155830.005,399932.4004,HTM,2,1,2,0.8878,5/12/2020,5,2,1076801.445,242653.2586,3
SEDOL,ID-000212,766575.234,423361.6867,HTM,1,4,2,0.4463,10/13/2008,6,1,1918761.954,246739.3797,1
ISIN,ID-000213,801074.5263,626999.107,AFS,1,9,3,0.9951,7/16/2022,1,1,1230979.485,223850.9713,3
ISIN,ID-000214,656684.7197,366674.6346,EQ,2,9,5,0.5831,3/8/2035,2,1,1077339.535,208047.9139,1
SEDOL,ID-000215,962559.8409,664294.9321,EQ,2,4,5,0.5388,12/10/2003,4,2,1573119.488,272398.7536,3
